"ID"	"Sepal.Length"	"Sepal.Width"	"Petal.Length"	"Petal.Width"	"Species"
43	5.1	3.5	-99	0.2	"setosa"
44	4.9	3	1.4	0.2	"setosa"
45	4.7	3.2	1.3	0.2	"setosa"
46	4.6	3.1	1.5	0.2	"setosa"
47	5	3.6	-99	0.2	"setosa"
48	-99	3.9	1.7	-99	"setosa"
49	-88	-99	1.4	-99	"setosa"
50	5	3.4	1.5	0.2	"setosa"
51	4.4	2.9	1.4	-99	"setosa"
52	4.9	3.1	1.5	0.1	"setosa"
53	-88	3.7	1.5	0.2	"setosa"
54	4.8	-88	1.6	0.2	"setosa"
55	4.8	3	1.4	-99	"setosa"
56	4.3	3	1.1	0.1	"setosa"
57	5.8	4	1.2	0.2	"setosa"
58	5.7	4.4	-99	-99	"setosa"
59	5.4	3.9	1.3	0.4	"setosa"
60	5.1	3.5	1.4	0.3	"setosa"
61	5.7	-88	1.7	0.3	"setosa"
62	5.1	3.8	-88	0.3	"setosa"
63	5.4	3.4	1.7	0.2	"setosa"
64	5.1	3.7	1.5	0.4	"setosa"
65	4.6	3.6	1	0.2	"setosa"
66	5.1	3.3	1.7	0.5	"setosa"
67	-99	3.4	1.9	0.2	"setosa"
68	5	3	1.6	-88	"setosa"
69	5	3.4	1.6	-88	"setosa"
70	5.2	-99	1.5	0.2	"setosa"
71	5.2	-99	1.4	0.2	"setosa"
72	4.7	-88	1.6	-88	"setosa"
73	4.8	3.1	1.6	-99	"setosa"
74	-99	3.4	-88	0.4	"setosa"
75	5.2	4.1	1.5	-99	"setosa"
76	5.5	4.2	1.4	0.2	"setosa"
77	4.9	3.1	1.5	-99	"setosa"
78	5	3.2	1.2	-99	"setosa"
79	5.5	-99	1.3	0.2	"setosa"
80	4.9	3.6	1.4	0.1	"setosa"
81	4.4	-99	1.3	-88	"setosa"
82	5.1	3.4	-99	0.2	"setosa"
83	-99	3.5	1.3	0.3	"setosa"
84	4.5	2.3	1.3	0.3	"setosa"
85	4.4	3.2	1.3	0.2	"setosa"
86	5	-88	-99	0.6	"setosa"
87	-99	3.8	1.9	0.4	"setosa"
88	-88	-88	1.4	0.3	"setosa"
89	5.1	-88	1.6	0.2	"setosa"
90	4.6	3.2	1.4	0.2	"setosa"
91	5.3	3.7	-99	0.2	"setosa"
92	5	3.3	1.4	0.2	"setosa"
93	-88	3.2	4.7	1.4	"versicolor"
94	6.4	3.2	4.5	1.5	"versicolor"
95	6.9	-99	4.9	-99	"versicolor"
96	5.5	2.3	4	1.3	"versicolor"
97	6.5	2.8	4.6	1.5	"versicolor"
98	-99	2.8	-88	1.3	"versicolor"
99	6.3	-99	4.7	1.6	"versicolor"
100	4.9	2.4	3.3	1	"versicolor"
101	6.6	2.9	4.6	1.3	"versicolor"
102	5.2	2.7	3.9	1.4	"versicolor"
103	5	2	3.5	1	"versicolor"
104	5.9	3	4.2	1.5	"versicolor"
105	6	2.2	4	1	"versicolor"
106	-99	2.9	4.7	1.4	"versicolor"
107	-88	2.9	3.6	1.3	"versicolor"
108	6.7	3.1	4.4	1.4	"versicolor"
109	-88	3	4.5	-88	"versicolor"
110	5.8	-88	4.1	-99	"versicolor"
111	-88	2.2	4.5	-99	"versicolor"
112	5.6	2.5	3.9	-88	"versicolor"
113	-99	3.2	4.8	-88	"versicolor"
114	6.1	2.8	4	1.3	"versicolor"
115	6.3	2.5	4.9	1.5	"versicolor"
116	6.1	2.8	4.7	1.2	"versicolor"
117	6.4	-99	4.3	-88	"versicolor"
118	-99	3	-88	1.4	"versicolor"
119	6.8	2.8	4.8	1.4	"versicolor"
120	6.7	3	5	1.7	"versicolor"
121	6	2.9	4.5	1.5	"versicolor"
122	5.7	2.6	3.5	1	"versicolor"
123	-99	2.4	3.8	1.1	"versicolor"
124	5.5	2.4	3.7	1	"versicolor"
125	5.8	-99	3.9	-99	"versicolor"
126	6	-99	5.1	-99	"versicolor"
127	5.4	3	4.5	1.5	"versicolor"
128	6	-88	4.5	1.6	"versicolor"
129	-99	3.1	-99	1.5	"versicolor"
130	6.3	2.3	4.4	1.3	"versicolor"
131	5.6	3	4.1	1.3	"versicolor"
132	5.5	-99	4	-88	"versicolor"
133	5.5	2.6	-88	-88	"versicolor"
134	6.1	-99	-88	1.4	"versicolor"
135	5.8	2.6	4	1.2	"versicolor"
136	5	2.3	3.3	-88	"versicolor"
137	5.6	2.7	4.2	1.3	"versicolor"
138	5.7	3	4.2	1.2	"versicolor"
139	5.7	-99	-88	-88	"versicolor"
140	6.2	2.9	4.3	-99	"versicolor"
141	5.1	-88	-99	1.1	"versicolor"
142	5.7	2.8	4.1	1.3	"versicolor"
143	6.3	3.3	6	-99	"virginica"
144	5.8	2.7	5.1	1.9	"virginica"
145	7.1	-88	5.9	2.1	"virginica"
146	6.3	2.9	5.6	1.8	"virginica"
147	-88	-88	5.8	2.2	"virginica"
148	-88	3	-99	-99	"virginica"
149	4.9	2.5	4.5	1.7	"virginica"
150	7.3	2.9	6.3	1.8	"virginica"
151	-99	2.5	5.8	1.8	"virginica"
152	7.2	3.6	-99	2.5	"virginica"
153	6.5	3.2	5.1	2	"virginica"
154	6.4	2.7	5.3	1.9	"virginica"
155	6.8	3	5.5	2.1	"virginica"
156	5.7	2.5	5	2	"virginica"
157	5.8	2.8	5.1	2.4	"virginica"
158	-99	3.2	5.3	2.3	"virginica"
159	-88	3	-88	1.8	"virginica"
160	7.7	3.8	6.7	2.2	"virginica"
161	-99	2.6	-99	2.3	"virginica"
162	6	-99	5	1.5	"virginica"
163	6.9	-99	5.7	2.3	"virginica"
164	5.6	2.8	4.9	2	"virginica"
165	7.7	2.8	6.7	2	"virginica"
166	6.3	2.7	4.9	1.8	"virginica"
167	6.7	3.3	5.7	2.1	"virginica"
168	7.2	3.2	6	1.8	"virginica"
169	-99	2.8	4.8	-99	"virginica"
170	-88	3	-88	1.8	"virginica"
171	6.4	2.8	5.6	-88	"virginica"
172	-88	3	-99	1.6	"virginica"
173	7.4	2.8	6.1	1.9	"virginica"
174	7.9	3.8	6.4	2	"virginica"
175	6.4	2.8	5.6	2.2	"virginica"
176	6.3	2.8	5.1	-88	"virginica"
177	6.1	-88	5.6	1.4	"virginica"
178	7.7	3	6.1	2.3	"virginica"
179	6.3	3.4	-88	2.4	"virginica"
180	-99	3.1	5.5	1.8	"virginica"
181	6	3	4.8	1.8	"virginica"
182	6.9	3.1	5.4	2.1	"virginica"
183	6.7	3.1	5.6	2.4	"virginica"
184	6.9	-99	5.1	2.3	"virginica"
185	-99	2.7	-99	1.9	"virginica"
186	6.8	3.2	5.9	2.3	"virginica"
187	6.7	3.3	-88	2.5	"virginica"
188	6.7	3	-88	-99	"virginica"
189	-99	2.5	5	1.9	"virginica"
190	6.5	3	5.2	-88	"virginica"
191	6.2	-88	5.4	2.3	"virginica"
192	5.9	3	5.1	1.8	"virginica"
