THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Love,The_Look_of_Love,ABC,1982,http://open.spotify.com/track/78j3qTBdzcIiT3eS7XymoD
Love,The_Shining,Badly_Drawn_Boy,2000,http://open.spotify.com/track/2PojSoZ94AIzp7fsz6wtMt
Love,God_Only_Knows,The_Beach_Boys,1966,http://open.spotify.com/track/0ObrXLrfrqJUNc8RfmIBHP
Love,Good_Vibrations,The_Beach_Boys,1966,http://open.spotify.com/track/2oF7FZHIJbzjeEXZ3D0Ku4
Love,Wouldnâ€™t_It_Be_Nice,The_Beach_Boys,1966,http://open.spotify.com/track/0cx32rX0uZvcJUP92Wkj2y
Love,Eight_Days_a_Week,The_Beatles,1964,
Love,Girl,The_Beatles,1965,
Love,I_Want_to_Hold_Your_Hand,The_Beatles,1963,
Love,She_Loves_You,The_Beatles,1963,
Love,Something,The_Beatles,1969,
Love,With_a_Little_Help_from_MyÂ Friends,The_Beatles,1967,
Love,Song_for_Whoever,The_Beautiful_South,1989,http://open.spotify.com/track/7k00fu054zyIgHEpkq5rBL
Love,How_Deep_is_Your_Love?,The_Bee_Gees,1977,http://open.spotify.com/track/1gIKd24bixkgYzuxse32oR
Love,Sweet_Little_Sixteen,Chuck_Berry,1958,http://open.spotify.com/track/1fDfWFb1YmdRWu5JZ9yANo
Love,Crazy_in_Love,BeyoncÃ©,2003,http://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr
Love,Thirteen,Big_Star,1972,
Love,Iâ€™ll_Take_Care_of_You,Bobby_â€œBlueâ€_Bland,1959,http://open.spotify.com/track/5vUitXO0fTxxS293NR51jA
Love,Heroes,David_Bowie,1977,http://open.spotify.com/track/1qyRX6xXvsmbxR6FEnVSv2
Love,The_Wedding_Song,David_Bowie,1993,http://open.spotify.com/track/0PUmT62MdJwmVf4sUjbHFW
Love,Sit_Down_I_Think_I_Love_You,Buffalo_Springfield,1966,http://open.spotify.com/track/70dh9SQ7pcNLn7QE5dbIiX
Love,Everybody_Needs_SomebodyÂ to_Love,Solomon_Burke,1964,http://open.spotify.com/track/66GhKP6S6KqYMHR7xtGPoX
Love,Mehbooba_Mehbooba,R_D_Burman,1975,
Love,Hounds_of_Love,Kate_Bush,1985,
Love,The_Man_With_the_Child_in_His_Eyes,Kate_Bush,1978,http://open.spotify.com/track/4xjVfArXNQRxAvsUpjmfMt
Love,The_Man_I_Love,Kate_Bush,1994,
Love,Love_Me_Forever,Carlton_and_the_Shoes,1968,
Love,The_Dark_End_of_the_Street,James_Carr,1967,
Love,I_Walk_the_Line,Johnny_Cash,1956,http://open.spotify.com/track/7wJepIHVDC88KzSyzNU1mA
Love,Deanna,Nick_Cave_and_the_Bad_Seeds,1988,http://open.spotify.com/track/0XWoG02DaQES7ATCrbjx8D
Love,I_Got_a_Woman,Ray_Charles,1954,http://open.spotify.com/track/2xar08Fq5xra2KKZs5Bw9j
Love,Stoned_Out_of_My_Mind,The_Chi-Lites,1973,http://open.spotify.com/track/3R35ltXFfFzAk5cCAKgZF8
Love,Thatâ€™s_How_Long,The_Chi-Lites,1974,
Love,Stay_Free,The_Clash,1978,
Love,Private_Number,Judy_Clay_and_William_Bell,1968,http://open.spotify.com/track/5AdCyD1APnK7Drt81MDciC
Love,Yellow,Coldplay,2000,http://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
Love,Do_You_Love_Me?,The_Contours,1962,http://open.spotify.com/track/1nalk6Yqn0vRg8iiYlfeYd
Love,Cupid,Sam_Cooke,1961,http://open.spotify.com/track/37ublgs2E1IIASg1it0v3t
Love,Iâ€™m_in_the_Mood_Again,Elvis_Costello,2003,http://open.spotify.com/track/5HWC5PWLas7xQsjQPoeDpo
Love,Jack_of_All_Parades,Elvis_Costello_and_the_Attractions,1986,
Love,Then_He_Kissed_Me,The_Crystals,1963,http://open.spotify.com/track/6OoJfmP08PBCLic4JBztsJ
Love,Friday_Iâ€™m_in_Love,The_Cure,1992,http://open.spotify.com/track/6TaVUwd1GxmOcR337FZM75
Love,Pour_Some_Sugar_on_Me,Def_Leppard,1987,
Love,Born_to_Be_With_You,Dion,1975,
Love,A_Teenager_in_Love,Dion_&_the_Belmonts,1960,http://open.spotify.com/track/17iHLt9yQLLeBN3g1woXzB
Love,Blueberry_Hill,Fats_Domino,1956,http://open.spotify.com/track/25CTJ7xIrrWTHNtA7mq8Y6
Love,Girl_from_the_North_Country_,Bob_Dylan,1963,http://open.spotify.com/track/4OfkpX0bONH3eSHQilGDnA
Love,Visions_of_Johanna,Bob_Dylan,1966,http://open.spotify.com/track/0D0fyyNszdh2FZeUoiHJx1
Love,Wedding_Song,Bob_Dylan,1974,http://open.spotify.com/track/6O5MMLdfCMSohn7uvSLXqS
Love,One_Day_Like_This,Elbow,2008,http://open.spotify.com/track/6PS9nzG6GUSPbD2A1xGWbm
Love,Letâ€™s_Stick_Together,Bryan_Ferry,1976,http://open.spotify.com/track/47KlEDyoBmF5ulJu6qmcHo
Love,Evâ€™ry_Time_We_Say_Goodbye,Ella_Fitzgerald,1956,http://open.spotify.com/track/50KK7LxalUrWPtZxlhBJhn
Love,Killing_Me_Softly_With_HisÂ Song,Roberta_Flack,1973,http://open.spotify.com/track/60SJRvzXJnVeVfS4RiH14u
Love,I_Never_Loved_a_Man_(The_Way_I_Love_You),Aretha_Franklin,1967,http://open.spotify.com/track/0FE39WU0AcIcXdkMK0fxkr
Love,I_Say_A_Little_Prayer,Aretha_Franklin,1968,http://open.spotify.com/track/6bBwFPgVdWxuc4uWEyALCa
Love,The_Power_of_Love,Frankie_Goes_to_Hollywood,1984,http://open.spotify.com/track/2CUoxqW5bw2WOZPExmFvk1
Love,Itâ€™ll_All_Come_Around,Patsy_Gallant,1978,
Love,Zing!_Went_the_Strings_of_My_Heart,Judy_Garland,1939,http://open.spotify.com/track/2vIuGZHuGRqcydnsVFC7Vp
Love,Ainâ€™t_No_Mountain_High_Enough,Marvin_Gaye_And_Tammi_Terrell,1967,http://open.spotify.com/track/77g8V7P1MkfiPXe8Rkxm7y
Love,Youâ€™re_All_I_Need_to_Get_By,Marvin_Gaye_And_Tammi_Terrell,1968,http://open.spotify.com/track/6L7r59rN9s4mBSxZDiElTp
Love,The_Dutchman,Steve_Goodman,1973,http://open.spotify.com/track/7gSXNrDpUr5mMDThxS6Y6i
Love,Letâ€™s_Get_Married,Al_Green,1974,
Love,Letâ€™s_Stay_Together,Al_Green,1971,http://open.spotify.com/track/1r5ix6rRcET3TUdnDSZ9Oo
Love,Love_and_Happiness,Al_Green,1972,
Love,Sweet_Child_Oâ€™_Mine,Guns_Nâ€™_Roses,1987,http://open.spotify.com/track/5HzLcjDzlykkKC0rw2R6WJ
Love,Iâ€™m_Into_Something_Good,Hermanâ€™s_Hermits,1964,http://open.spotify.com/track/5tYLgBIbx3YVde84rRPNE9
Love,How_Will_I_Know,Whitney_Houston,1985,http://open.spotify.com/track/0xd9xioBzvbJ0KsqFUE1ob
Love,Iâ€™m_So_in_Love,Leroy_Hutson,1973,http://open.spotify.com/track/7yLQMOBHYEkFkFQcEoNEpR
Love,Iâ€™m_So_Proud,The_Impressions,1964,http://open.spotify.com/track/6mLycrS3LfCUERnOWm8luW
